MONTH;YEAR;MOL MAGYAR OLAJ-ES GAZIPARI;OTP BANK;RICHTER GEDEON;MAGYAR TKOM.TELECOM.;BUDAPEST ELECTRICITY;4IG NYILVANOSAN;ALLAMI NYOMDA;ALTEO ENERGY;ALTERA WEALTH MANAGEMENT;APPENINN NYILVANOSAN;BPT.PR.UTILIZATION&.DEV.;CIG PANNONIA LIFE IN.;CSEPEL HOLDING;DUNA HOUSE HOLDING;EHEP SHARE;ENEFI ENERGY;EST MEDIA;EXTERNET;FHB SHARE;FINEXT SHARE;FORRAS FORRAS/T;FUTURAQUA;GRAPHISOFT PARK SE SHARE;KARTONPACK;KEG CTL.EUR.LPG TERM.;KEY SOFT;KONZUM TRDG.&.INDL.;MASTERPLAST;NORDTELEKOM TELECOM.SX.;NTH.HUNGARIAN ELTY.SUPP.;NUTEX INVESTMENTS;OPMIUS GROUP;ORMESTER;OTT ONE;PANNERGY;PANNON VALTO;PLOTINUS HOLDING;RABA AUTOMOTIVE GP.;TR INVESTMENT;ZWACK UNICUM;ADIDAS (BUD);ARCELORMITTAL (BUD);AXA (BUD);BANCO SANTANDER (BUD);BASF (BUD);BAYER (BUD);BBV.ARGENTARIA (BUD);BMW (BUD);BNP PARIBAS (BUD);COMMERZBANK (BUD);DAIMLER (BUD);DEUTSCHE BANK (BUD);DEUTSCHE LUFTHANSA (BUD);E ON (BUD);INFINEON TECH 'N' (BUD);LINDE (BUD);NOKIA (BUD);SIEMENS (BUD);TELEFONICA (BUD);THYSSENKRUPP (BUD);TOTAL (BUD);ERWOJ.TURBO LONG 03 CKT.;ERWOJ.TURBO LONG 70 CKT.;FORRAS TRUST & INV.
2;2004;-0.002906977;-0.015734851;-0.00875;0.008588957;0;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;-0.012504388;NA;0.011752137;NA;0.077868852;NA;NA;0;NA;NA;0.083333333;NA;NA;0.000996016;-0.011628056;-0.015625;NA;NA;0.014084507;0;NA;0.00591716;NA;0.018954248;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.063934426
2;2004;0.004373178;0;0.008827238;0;0.006756757;NA;NA;NA;NA;NA;0;NA;-0.113636364;NA;0;NA;-0.037973371;NA;-0.005279831;NA;-0.011406844;NA;NA;0;NA;NA;0.098901099;NA;NA;0.004975124;0.011764859;-0.031746032;NA;NA;-0.020833333;0;NA;-0.017647059;NA;-0.031430404;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.001540832
2;2004;-0.003628447;0.006802721;0.008333333;0.00973236;0;NA;NA;NA;NA;NA;-0.109461967;NA;0;NA;0;NA;0.039472266;NA;0.006369427;NA;-0.043589744;NA;NA;0;NA;NA;-0.01;NA;NA;0;0;0.049180328;NA;NA;0.021276596;0;NA;-0.011976048;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.06
2;2004;-0.02403496;0.012837838;-0.020661157;-0.015662651;0;NA;NA;NA;NA;NA;0.002083333;NA;0;NA;0;NA;-0.025310644;NA;-0.006329114;NA;-0.008042895;NA;NA;0;NA;NA;-0.121212121;NA;NA;0.00990099;0;-0.015625;NA;NA;-0.013888889;0;NA;0.006060606;NA;0.033774834;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.001636661
2;2004;0;-0.006004003;0.004219409;-0.004895961;0;NA;NA;NA;NA;NA;0.097713098;NA;0;NA;0;NA;0;NA;-0.002123142;NA;-0.025675676;NA;NA;0;NA;NA;0;NA;NA;-0.008823529;0;-0.015873016;NA;NA;0;0;NA;0.012048193;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.006557377
2;2004;-0.004477612;0.045973154;-0.004201681;0.002460025;-0.010067114;NA;NA;NA;NA;NA;-0.087121212;NA;0;NA;0;NA;-0.012991552;NA;0.021276596;NA;0.012482663;NA;NA;0;NA;NA;0.068965517;NA;NA;0;-0.034884168;-0.032258065;NA;NA;-0.014084507;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
2;2004;-0.005997001;0.017003529;-0.009493671;-0.003680982;0;NA;NA;NA;NA;NA;0.134854772;NA;0;NA;0;NA;0.039472266;NA;0.002083333;NA;0.053424658;NA;NA;0;NA;NA;0.053763441;NA;NA;0;0;0.016666667;NA;NA;0;0;NA;-0.005952381;NA;-0.007046765;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.001650165
2;2004;0.004524887;-0.003154574;-0.03343983;-0.004926108;0.016949153;NA;NA;NA;NA;NA;-0.012797075;NA;0;NA;0;NA;-0.037973371;NA;0.018711019;NA;-0.014304291;NA;NA;0;NA;NA;0;NA;NA;-0.00098912;0.048193412;-0.06557377;NA;NA;0;0;NA;-0.005988024;NA;0.007096774;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.003294893
2;2004;-0.010510511;0.000316456;0.024680476;-0.004950495;-0.019666667;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0;NA;0.010204082;NA;-0.050131926;NA;NA;0;NA;NA;0;NA;NA;0;-0.034483196;0.01754386;NA;NA;-0.007142857;0;NA;0.018072289;NA;-0.01921845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.001652893
2;2004;0.001517451;0.021828535;0.023870968;0.002487562;0;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;-0.013147159;NA;-0.019191919;NA;-0.002777778;NA;NA;0;NA;NA;0;NA;NA;0;0;-0.034482759;NA;NA;0;0;NA;-0.00591716;NA;0.005878511;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.001655629
2;2004;0.007575758;0.043343653;0.008191556;0.011166253;-0.00034002;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;-0.026675819;NA;0.009268795;NA;0.058495822;NA;NA;0;NA;NA;-0.173469388;NA;NA;0;0.035714755;0;NA;NA;-0.007194245;0;NA;0.011904762;NA;-0.004545455;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.028192371
2;2004;0.022556391;0.005934718;-0.020833333;-0.006134969;0.006802721;NA;NA;NA;NA;NA;0;NA;-0.230769231;NA;0;NA;0;NA;0;NA;-0.046052632;NA;NA;0;NA;NA;-0.061728395;NA;NA;0;0;0.017857143;NA;NA;0.010869565;0;NA;-0.035294118;NA;0.00456621;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.008064516
