MONTH;YEAR;KRKA;PETROL;TELEKOM SLOVENIJE;ZAVAROVALNICA TRIGLAV;CETIS REDNE;CINKARNA REDNE;DATALAB TEHNOLOGIJE;DELO PRODAJA;GEA TOVARNA OLJA;GORENJE;GRAND HOTEL UNION;INLES RIBNICA REDNE;INTEREUROPA;ISTRABENZ;KD;KOMPAS MTS;KS NALOZBE;LUKA KOPER;M1 FINANCNA DRUZBA;MELAMIN REDNE;MERCATOR;MLINOTEST;NAMA;NIKA REDNE;POZAVAROVALNICA SAVA;SALUS REDNE SERIJA 'B';SIVENT;TERME CATEZ REDNE;TOPLICE DOBRNA;UNIOR KOVASKA;ZDRAVILISEE ROGASKA REDN
3;2004;0.019572309;0.016861503;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.034140532;0.038103878;NA;NA;NA;0;NA;NA;0.014402394;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;0;0.002936752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.00537428;0.009176316;NA;NA;NA;0.014224281;NA;NA;-0.000799017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;-0.014930679;-0.009605771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.001543805;0.021866205;NA;NA;NA;-0.014024788;NA;NA;-0.011441225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;-0.023457236;-0.022823148;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.046242775;-0.022245763;NA;NA;NA;-0.000661594;NA;NA;-0.000186672;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.015521064;0.021585123;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.025454545;0.017984832;NA;NA;NA;0.001324065;NA;NA;0.013007219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;-0.000363901;0.008776682;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.024034673;-0.000212857;NA;NA;NA;0.004958678;NA;NA;-0.001658782;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0;-0.001575367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.000384763;-0.008941878;NA;NA;NA;-0.006907895;NA;NA;-0.003507692;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.001456134;-0.003550169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.001538462;-0.022126745;NA;NA;NA;0.003312355;NA;NA;0.00753412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.006543075;-0.003490841;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.005392912;-0.001537786;NA;NA;NA;0.025090789;NA;NA;-0.007416488;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.003972553;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.003065134;0.01540154;NA;NA;NA;0.01352657;NA;NA;-0.002223046;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.000719424;-0.001516793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.00038432;-0.01603467;NA;NA;NA;0;NA;NA;0.00482733;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.013299784;0.001374421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.012687428;0.016075754;NA;NA;NA;0.015570384;NA;NA;0.005050505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.004256829;0.004551037;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.002277904;0.009102731;NA;NA;NA;0.010638298;NA;NA;-0.001348204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.001412928;-0.003271969;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.002272727;-0.009235395;NA;NA;NA;0.011455108;NA;NA;0.00362052;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.00952381;0.012806176;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.001518603;-0.003468459;NA;NA;NA;0.014080196;NA;NA;-0.002445735;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.008385744;-0.013819632;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.001895375;-0.018707853;NA;NA;NA;0.012979173;NA;NA;-0.004535703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.001039501;3.61E+00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.015891033;0.004433607;NA;NA;NA;0.012514899;NA;NA;0.00745028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.001384562;0.008306548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.015642458;0.009269477;NA;NA;NA;0.016480283;NA;NA;0.025363647;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;-0.00172831;0.016368781;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.008067473;-0.004154822;NA;NA;NA;0.002605675;NA;NA;0.00065566;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.019390582;0.030871159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.022189887;0.012955643;NA;NA;NA;0.02945423;NA;NA;-0.002323088;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0.038383152;-0.025058116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00747331;-0.016908736;NA;NA;NA;-0.011781206;NA;NA;-0.005910801;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;-0.007523716;0.007047933;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.01024373;0.017199559;NA;NA;NA;0.017598638;NA;NA;0.02978979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;-0.004943968;-0.007311978;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.014685315;0;NA;NA;NA;0.029288703;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;2004;0;-0.002841108;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.001419446;0;NA;NA;NA;-0.016802168;NA;NA;0.001574711;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;0;-0.005170776;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.027007818;-0.013873835;NA;NA;NA;0.005512679;NA;NA;0.007104175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;0.000993707;-0.000742522;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.019377163;-0.004836228;NA;NA;NA;-0.006578947;NA;NA;-0.015958369;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;-0.005625414;-0.006475355;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00564573;-0.009498564;NA;NA;NA;-0.017108168;NA;NA;0.007168459;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;-0.002995008;-0.002065674;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.005614035;0.018510259;NA;NA;NA;-0.011791129;NA;NA;-0.012543025;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;-0.001335113;0.009421842;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.001046755;-0.000875848;NA;NA;NA;0.001704545;NA;NA;0.002599551;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;-0.014371658;-0.007566115;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.008382815;-0.008327854;NA;NA;NA;-0.013896767;NA;NA;-0.019858574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;-0.01525941;-0.027538297;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.011271574;-0.036685083;NA;NA;NA;-0.011791775;NA;NA;-0.01454939;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;0.001033058;0.009708027;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.000356252;0.018582244;NA;NA;NA;-0.000582072;NA;NA;0.009456409;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;0.002751978;0.00435382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.00472973;NA;NA;NA;0.006406523;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;0.004116638;-0.016508923;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.014967926;-0.014122394;NA;NA;NA;-0.018518519;NA;NA;0.008642572;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;-0.012640929;-0.010945822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.007373596;0.009322419;NA;NA;NA;0.012382075;NA;NA;-0.015099766;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;-0.026297578;-0.009470049;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.02263884;0;NA;NA;NA;-0.023587653;NA;NA;-0.021658453;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;0.004264392;0.004686563;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.007600434;-0.033115567;NA;NA;NA;0.005368327;NA;NA;0.007897519;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;-0.001061571;0.000410494;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.007902299;0.014911463;NA;NA;NA;-0.005932958;NA;NA;-0.004874136;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;0.003188098;0.003319905;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.003563792;0.000229568;NA;NA;NA;0.023873471;NA;NA;0.005270011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;0.008121469;-0.003048667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.012784091;0.01445949;NA;NA;NA;0.001457301;NA;NA;0.007771062;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;-0.002101576;-0.014208465;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.006834532;-0.014479638;NA;NA;NA;-0.012514552;NA;NA;-0.014198286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;-0.000702001;-0.009911478;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.004644516;-0.009871442;NA;NA;NA;-0.012673151;NA;NA;0.000744971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;-0.002458728;0.003362372;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.005334282;-0.014375145;NA;NA;NA;-0.005970149;NA;NA;-0.020471464;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2004;-0.013732394;-0.000456969;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.000353732;-0.013173371;NA;NA;NA;-0.006906907;NA;NA;-0.005573148;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
