Month;Year;ERSTE GROUP BANK (PRA);VIENNA IN.GROUP (PRA);CENTRAL EUR.MEDIA (PRA);PHILIP MORRIS CR;CEZ;KOMERCNI BANKA;MONETA MONEY BANK;KOFOLA CESKOSLOVENSKO;UNIPETROL;TELF.O2 CZECH REPUBLIC;STOCK SPIRITS GROUP(PRA);PEGAS NONWOVENS;FORTUNA ENTM.GROUP
7;2004;-0.0106032;NA;NA;-0.02419684;-0.01030422;-0.012774451;NA;NA;-0.000263435;-0.002974083;NA;NA;NA
7;2004;-0.034121891;NA;NA;-0.009739484;-0.002974715;-0.022240194;NA;NA;0.001844532;-0.002272727;NA;NA;NA
7;2004;0.001519922;NA;NA;0.026730224;0.00099453;0.043010753;NA;NA;0.013150973;0.001281321;NA;NA;NA
7;2004;0.017626016;NA;NA;-0.003232252;-0.015151515;0.026169707;NA;NA;0.012850467;0.001990616;NA;NA;NA
7;2004;0.005944011;NA;NA;0.010907376;-0.004842371;0.002318393;NA;NA;-0.006920415;0.008088548;NA;NA;NA
7;2004;0.022640151;NA;NA;-0.006823749;-0.008109889;-0.015805705;NA;NA;-0.003226223;0.003800676;NA;NA;NA
7;2004;-0.018286874;NA;NA;0.022725938;0.016659001;0.034469252;NA;NA;0.01178146;0.012901416;NA;NA;NA
7;2004;0.003923802;NA;NA;-0.120463941;-0.003669264;0.019310867;NA;NA;0.007549584;0.000276893;NA;NA;NA
8;2004;0.002920843;NA;NA;0.013839927;-0.019826455;-0.005200594;NA;NA;0;0.000415225;NA;NA;NA
8;2004;0.013639792;NA;NA;-0.028589826;0.009007154;-0.001867065;NA;NA;0;0.01452684;NA;NA;NA
8;2004;-0.000961161;NA;NA;-0.00059658;-0.0071414;0.007108118;NA;NA;0;0.007500341;NA;NA;NA
8;2004;0.000962086;NA;NA;-0.00139285;0.023941636;-0.002600297;NA;NA;0.012065024;0.012994044;NA;NA;NA
8;2004;-0.035542281;NA;NA;-0.005977683;0.003512293;-0.023836127;NA;NA;0.001129376;-0.010422234;NA;NA;NA
8;2004;-0.014841565;NA;NA;-0.005078177;-0.00655;0.001907669;NA;NA;-0.000376034;-0.005536052;NA;NA;NA
8;2004;0.005047099;NA;NA;0.028744124;0.017162414;-0.001142422;NA;NA;0.004388715;0.012763069;NA;NA;NA
8;2004;-0.017197342;NA;NA;0.003068286;-0.029935675;0.0053374;NA;NA;-0.003745318;-0.006167047;NA;NA;NA
8;2004;0.006144765;NA;NA;0.009437032;-0.007702117;-0.008342814;NA;NA;0.004385965;0;NA;NA;NA
8;2004;0.001521337;NA;NA;-0.008317215;-0.00046263;0;NA;NA;-0.011353712;0.020099825;NA;NA;NA
8;2004;0.014326929;NA;NA;-0.004421039;0.016970944;0.007648184;NA;NA;0.006940939;-0.001586882;NA;NA;NA
8;2004;-0.044668541;NA;NA;-0.065499902;0.002528445;0.012523719;NA;NA;0.014788821;0.002119205;NA;NA;NA
8;2004;-0.005965874;NA;NA;-0.016422082;-0.003076923;0.001874063;NA;NA;-0.004940101;0.000660851;NA;NA;NA
8;2004;0.01518005;NA;NA;-0.007104796;-0.019732848;0.02020202;NA;NA;0;0.003698323;NA;NA;NA
8;2004;0.005297273;NA;NA;0.010017889;-0.009497264;0.002933627;NA;NA;-0.001613504;-0.003026714;NA;NA;NA
8;2004;0.011572582;NA;NA;0.008926674;0.01427827;0.004753199;NA;NA;-0.002362009;0.005147835;NA;NA;NA
8;2004;0.01512171;NA;NA;0.011937364;0.01027538;-0.002183406;NA;NA;0.001246106;0.010111622;NA;NA;NA
8;2004;0.009256152;NA;NA;0.010339324;-0.002491863;0.002188184;NA;NA;-0.005600498;-0.011830473;NA;NA;NA
8;2004;0.008967455;NA;NA;-0.015796703;0.010196278;0.016011645;NA;NA;0.004881101;-0.012366794;NA;NA;NA
8;2004;0.001977419;NA;NA;-0.010048849;0.017411052;-0.006088825;NA;NA;0.002615519;0.001465299;NA;NA;NA
8;2004;-0.009856973;NA;NA;-0.014098407;0.012896825;-0.001441441;NA;NA;0.02447205;0.000399042;NA;NA;NA
8;2004;0.004972192;NA;NA;0.069355069;0.008814887;0.0129917;NA;NA;0.001818843;0.012099455;NA;NA;NA
9;2004;-0.00296429;NA;NA;-0.011901578;0.011165049;0.007481297;NA;NA;0.020576132;0.00696269;NA;NA;NA
9;2004;0.005956901;NA;NA;-0.011300582;-0.003840614;-0.000353607;NA;NA;0.00652277;0;NA;NA;NA
9;2004;-0.004932917;NA;NA;-0.009992471;0.003373494;0.007074637;NA;NA;0.002003064;0.004827136;NA;NA;NA
9;2004;0.004957371;NA;NA;-0.000345662;0.042267051;0.011591149;NA;NA;0.000587959;0.015061023;NA;NA;NA
9;2004;-0.001977419;NA;NA;-0.016251729;-0.002304147;-0.001388889;NA;NA;-0.002585498;-0.001662829;NA;NA;NA
9;2004;0.015850697;NA;NA;0;0.017551963;0.006258693;NA;NA;-0.000942618;0.006149904;NA;NA;NA
9;2004;-0.01267774;NA;NA;0.014481547;-0.000453926;0.00138217;NA;NA;-0.000589692;0.004329556;NA;NA;NA
9;2004;0.002963199;NA;NA;-0.000415772;0.037693006;-0.014837819;NA;NA;0.001298088;-0.011664765;NA;NA;NA
9;2004;-0.000984815;NA;NA;0.013379549;0.013129103;0.016462347;NA;NA;0.00117855;0.008851828;NA;NA;NA
9;2004;-0.008861471;NA;NA;0.013681762;0.009935205;-0.003445899;NA;NA;0.01177163;0.005213632;NA;NA;NA
9;2004;-0.001989198;NA;NA;0.009920367;0.023952096;0.014522822;NA;NA;0.002326934;0.003162555;NA;NA;NA
9;2004;0.013941427;NA;NA;0.012696291;-0.006683375;-0.001363327;NA;NA;0.001276843;-0.006809584;NA;NA;NA
9;2004;0.033396745;NA;NA;-0.000593863;-0.005466779;0.000341297;NA;NA;0.003246;-0.002412392;NA;NA;NA
9;2004;-0.005706688;NA;NA;-0.011224086;-0.029598309;-0.018423746;NA;NA;0.011324243;-0.009927453;NA;NA;NA
9;2004;0.016261751;NA;NA;-0.004407051;0.011328976;0.003475843;NA;NA;-0.003770567;-0.004370742;NA;NA;NA
9;2004;0.007520015;NA;NA;0.001006036;0.035329599;-0.011776931;NA;NA;0.00332607;-0.008521627;NA;NA;NA
9;2004;-0.01026661;NA;NA;-0.006298157;-0.010819809;-0.021381002;NA;NA;-0.004458162;-0.015236359;NA;NA;NA
9;2004;-0.020756364;NA;NA;0.000809116;-0.002103492;-0.004297994;NA;NA;0.000574119;0.012033853;NA;NA;NA
9;2004;0.004819702;NA;NA;0.015293404;0.007588533;-0.015467626;NA;NA;0.000803305;-0.003789364;NA;NA;NA
9;2004;0;NA;NA;0;0;0;NA;NA;0;0;NA;NA;NA
9;2004;0.024921604;NA;NA;-0.000597213;0.065271967;0.040555353;NA;NA;-0.001949318;0.030036726;NA;NA;NA
9;2004;-0.005605878;NA;NA;-0.010822655;0.01846033;-0.005969101;NA;NA;-0.009076287;-0.016681523;NA;NA;NA
10;2004;-0.001882534;NA;NA;-0.002550678;-0.005013498;0.009184034;NA;NA;0.002318841;-0.019295519;NA;NA;NA
10;2004;0.004705071;NA;NA;0.005720054;-0.036821705;0.006650333;NA;NA;-0.001156738;-0.013600951;NA;NA;NA
10;2004;0.003754504;NA;NA;0.012044162;0.018108652;0.020862309;NA;NA;-0.002895194;0.001204819;NA;NA;NA
10;2004;0.020562477;NA;NA;-0.011107438;0.009486166;0.001362398;NA;NA;0.009756098;0.006819093;NA;NA;NA
10;2004;0.004581371;NA;NA;0.006084108;0.052858262;0.008503401;NA;NA;-0.000575109;-0.001195219;NA;NA;NA
10;2004;-0.018232104;NA;NA;-0.013423711;-0.009297136;-0.020910624;NA;NA;0.003452641;0.012099455;NA;NA;NA
10;2004;0.000929034;NA;NA;0.004445642;0.04466967;0.053737513;NA;NA;0.005734603;0;NA;NA;NA
10;2004;-0.01855345;NA;NA;-0.00744367;-0.004671218;-0.009480222;NA;NA;0.005473828;0.009064635;NA;NA;NA
10;2004;0.009447009;NA;NA;-0.019323019;-0.011552347;-0.000330033;NA;NA;0.000340252;0.012758755;NA;NA;NA
10;2004;-0.016853536;NA;NA;0.002066827;-0.016800584;-0.010234401;NA;NA;0.001587302;-0.011183957;NA;NA;NA
10;2004;-0.006660246;NA;NA;-0.012031626;-0.01448737;0.001000667;NA;NA;0.003848766;-0.000520021;NA;NA;NA
10;2004;-0.0057559;NA;NA;-0.011412665;-0.024877497;-0.00733089;NA;NA;0.00405954;-0.011966701;NA;NA;NA
