MONTH;YEAR;CEZ;KOMERCNI BANKA;TELF.O2 CZECH REPUBLIC;UNIPETROL;MONETA MONEY BANK;PHILIP MORRIS CR;BOREALIS EXPLORATION;E4U;ENERGOAQUA;ENERGOCHEMICA;FORTUNA ENTM.GROUP;JACHYMOV;KOFOLA CESKOSLOVENSKO;PEGAS NONWOVENS;PRAZSKE SLUZBY;RM-S HOLDING;SAFETY REAL INVESTICNI FOND;TOMA;CENTRAL EUR.MEDIA (PRA);ERSTE GROUP BANK (PRA);NEW WORLD RES. (PRA);PHOTON ENERGY (PRA);STOCK SPIRITS GROUP(PRA);TATRY MOUNTAIN (PRA) RESORTS 6;VGP (WI) (PRA);VIENNA IN.GROUP (PRA)
5;2004;-0.030612245;-0.033260234;-0.016496251;0.000497574;NA;-0.019742489;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.006120091;NA;NA;NA;NA;NA;NA
5;2004;0.038135338;-0.004914934;0.002911006;0.002237971;NA;-0.041681261;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.013903916;NA;NA;NA;NA;NA;NA
5;2004;-0.016165479;0.007978723;-0.022805805;-0.001116487;NA;-0.026803119;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.039335154;NA;NA;NA;NA;NA;NA
5;2004;0.011425206;0.024123634;0.015134371;-0.001614506;NA;-0.04231347;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.003389872;NA;NA;NA;NA;NA;NA
5;2004;0.011121463;0.023187339;0.0143514;0;NA;0.022091503;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.062191977;NA;NA;NA;NA;NA;NA
5;2004;-0.007255975;-0.018705036;0.008791209;0.001243936;NA;0.040478322;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.007159224;NA;NA;NA;NA;NA;NA
5;2004;-0.001682232;0.004398827;-0.000544662;0.001863586;NA;-0.022309631;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.005063669;NA;NA;NA;NA;NA;NA
5;2004;0.015920976;-0.002919708;-0.007765668;-0.00421627;NA;-0.01081217;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.020911714;NA;NA;NA;NA;NA;NA
5;2004;-0.005948296;0.009150805;-0.015103666;-0.003113325;NA;-0.004448399;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.004465194;NA;NA;NA;NA;NA;NA
5;2004;0.02301496;0.022850925;0.001533529;0.00062461;NA;0.004468275;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.019791749;NA;NA;NA;NA;NA;NA
5;2004;0.006130484;0.009219858;0.023663697;-0.002496879;NA;-0.011438739;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.001547712;NA;NA;NA;NA;NA;NA
5;2004;0.025714126;-0.003865074;0.00965461;0;NA;-0.014206737;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.026615082;NA;NA;NA;NA;NA;NA
5;2004;0.006267372;-0.001763668;0.003636364;0.003379224;NA;-0.005542876;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.00629176;NA;NA;NA;NA;NA;NA
6;2004;0.001678943;0;-0.008319914;0.003118373;NA;-0.00747541;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;-0.1;NA;-0.037762042;NA;NA;NA;NA;NA;NA
6;2004;0.01703163;0.001413428;0.016779432;-0.001492166;NA;-0.012288584;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.007795113;NA;NA;NA;NA;NA;NA
6;2004;-0.012759171;0.006704305;0.008517434;-0.006849315;NA;0.038795987;NA;NA;0;NA;NA;0;NA;NA;0;0.225641026;NA;0;NA;-0.007078609;NA;NA;NA;NA;NA;NA
6;2004;0.004577275;0.002453558;-0.008181578;0;NA;0.004507405;NA;NA;0;NA;NA;0;NA;NA;0;-0.050209205;NA;0;NA;0.018469747;NA;NA;NA;NA;NA;NA
6;2004;0.009112838;0.022727273;0.004523683;-0.032727273;NA;0.015064103;NA;NA;0;NA;NA;0.09965812;NA;NA;0;0;NA;0;NA;0.027709353;NA;NA;NA;NA;NA;NA
6;2004;-0.005312085;-0.012307692;-0.00384106;-0.001037075;NA;-0.005683612;NA;NA;0;NA;NA;0.011969532;NA;NA;0;0;NA;0;NA;0.009077796;NA;NA;NA;NA;NA;NA
6;2004;-0.033164219;-0.011768778;0.000265922;-0.002206073;NA;0.004636393;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.013736028;NA;NA;NA;NA;NA;NA
6;2004;-0.011047282;0.00525394;-0.008507244;-0.029262583;NA;0.021178404;NA;NA;0;NA;NA;0.001536098;NA;NA;0;-0.074889868;NA;0;NA;0.001765437;NA;NA;NA;NA;NA;NA
6;2004;-0.010053619;-0.001393728;0.000268132;0.003483387;NA;0.038506779;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.019211523;NA;NA;NA;NA;NA;NA
6;2004;-0.001410517;-0.00418702;-0.003082697;-0.005473965;NA;0.019433681;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.006710442;NA;NA;NA;NA;NA;NA
6;2004;0.009887564;0.003503854;0.001210003;-0.01167942;NA;-0.011461318;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.015105274;NA;NA;NA;NA;NA;NA
6;2004;0.008727761;-0.002793296;-0.020813751;0.011681608;NA;0.005087252;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.033288471;NA;NA;NA;NA;NA;NA
6;2004;0.023516362;0.051470588;0.007131103;0.016245972;NA;-0.006238597;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.021964055;NA;NA;NA;NA;NA;NA
6;2004;-0.001571475;0.004995005;0.005310458;0.013079667;NA;-0.009771987;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.010031657;NA;NA;NA;NA;NA;NA
6;2004;-0.00412483;-0.029158383;0.003792496;-0.000912885;NA;-0.02242823;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.018917654;NA;NA;NA;NA;NA;NA
6;2004;0.003160935;-0.001023891;-0.003373364;-0.003524344;NA;0.000367085;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.015901005;NA;NA;NA;NA;NA;NA
6;2004;-0.003368284;0.032114793;0.019225562;0.00091695;NA;0.010396918;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;-0.037037037;NA;0.017138159;NA;NA;NA;NA;NA;NA
6;2004;-0.003052603;-0.001655081;-0.006110521;0.001046983;NA;0.001815871;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.020465897;NA;NA;NA;NA;NA;NA
6;2004;0;-0.014920424;0.008286554;-0.002483985;NA;0.001510483;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA
