Month;Year;ARCA CONTINENTAL;ALFA 'A';ALPEK DE CV;ALSEA DE CV;AMERICA MOVIL 'L';GRUPO AEROPORTUARIO DEL SURESTE 'B';GRUPO BIMBO 'A';BOLSA MEXICANA DE VALORES;CEMEX CPO;GRUPO ELEKTRA;FOMENTO ECONOMICO MEXICANO;GRUPO AEROPORTUARIO DEL PACIFICO;GRUPO CARSO SERIES A1;GENTERA;GRUPO FINANCIERO INBURSA SRIES 'O';GPO FINANCE BANORTE;BANREGIO GRUPO FINANCIERO;GRUPO MEXICO 'B';GRUMA;INFRAESTRUCTURA ENERGETICA NOVA;KIMBERLY-CLARK DE MEXICO 'A';COCA-COLA FEMSA 'L';GENOMMA LAB INTERNATIONAL;GRUPO LALA;EL PUERTO DE LIVERPOOL C1;MEXICHEM DE CV;NEMAK;OHL MEXICO;GRUPO AEROPORTUARIO DEL CENTRO NORTE 'B';INDUST PENOLES;PROMOTORA Y OPRD. INFRE.;GRUPO FINANCIERO SANTANDER MEXICO 'B';GRUPO TELEVISA;CONTROLADORA VUELA COMPANIA DE AVIACION;WALMART DE MEXICO 'V'
2;2004;-0.01189128;-0.015503876;NA;-0.040268456;-0.025396825;-0.024390244;-0.022530329;NA;-0.024263432;-0.038581693;-0.017978921;NA;-0.004477612;NA;-0.005649718;-0.010536398;NA;-0.029279279;-0.017837838;NA;-0.011066398;-0.014814815;NA;NA;0;0;NA;NA;NA;-0.029463074;0;0;-0.034128289;NA;-0.021889401
2;2004;-0.00286533;-0.015748031;NA;0.041958042;-0.006514658;-0.020833333;0.005319149;NA;-0.006216696;-0.026807474;-0.000631313;NA;-0.007496252;NA;-0.034090909;-0.025169409;NA;-0.018561485;-0.032471106;NA;-0.001017294;-0.018796992;NA;NA;0;0;NA;NA;NA;-0.017775115;0;0;-0.003831418;NA;-0.020023557
2;2004;0;0.026666667;NA;0;0.016393443;0.021276596;0.010582011;NA;0.00357462;0.002337229;0.012634239;NA;-0.02265861;NA;0.021568627;0.002979146;NA;0.002364066;0.010807736;NA;0.00101833;0.042145594;NA;NA;0.016129032;0;NA;NA;NA;-0.013826759;0;0;-0.001282051;NA;0.012019231
2;2004;0.016091954;0.038961039;NA;0.040268456;-0.003225806;0.008333333;0.003490401;NA;0.001780944;0.024317122;0.034934498;NA;0.021638331;NA;-0.015355086;-0.000990099;NA;0.004716981;0.000562746;NA;0;-0.020220588;NA;NA;0;0;NA;NA;NA;-0.005154639;0;0;0.017971759;NA;0.021377672
2;2004;-0.009049774;0.0275;NA;0.038709677;0.006472492;0.020661157;0.045217391;NA;0.002666667;0.012195122;0.003616637;NA;-0.004538578;NA;0.01754386;0.001982161;NA;0.025821596;0.005061867;NA;-0.006103764;0.012382739;NA;NA;0;0.041666667;NA;NA;NA;-0.000414508;0;0;0.018915511;NA;0.004651163
2;2004;-0.001141553;-0.00243309;NA;0.037267081;0;-0.006072874;0.014975042;NA;0.009751773;-0.014136546;-0.005405405;NA;-0.004559271;NA;0;0;NA;-0.004576659;0;NA;-0.003070624;-0.036693847;NA;NA;0;0.013333333;NA;NA;NA;0.010574331;0;0;0.000825083;NA;-0.016203704
3;2004;-0.006857143;0.02195122;NA;0.038922156;0.032154341;0.00610998;-0.016393443;NA;0.010535558;0.027863777;0.064009662;NA;0.024427481;NA;0.036398467;0.042532146;NA;0.04137931;-0.005595971;NA;0.009240246;0.045402078;NA;NA;0.015873016;0;NA;NA;NA;0.003282725;0;0;0.011541632;NA;0
3;2004;0;-0.011933174;NA;0.060518732;-0.009345794;-0.042510121;-0.001666667;NA;-0.002606429;0.009828789;-0.01816118;NA;0.007451565;NA;0;-0.000948767;NA;0.002207506;0;NA;-0.007121058;-0.024659551;NA;NA;0;0;NA;NA;NA;0.00408998;0;0;-0.025672372;NA;-0.009411765
3;2004;-0.000575374;-0.009661836;NA;-0.029891304;-0.003144654;0.014799154;-0.025041736;NA;-0.011324042;0.012715856;0.021965318;NA;-0.00887574;NA;-0.020332717;-0.018993352;NA;-0.035242291;0.016882386;NA;0.006147541;-0.011320755;NA;NA;0;0;NA;NA;NA;-0.036659878;0;0.133226324;-0.007946466;NA;-0.007125891
3;2004;0.003454231;0.014634146;NA;-0.011204482;0.03785489;-0.032916667;0.005136986;NA;0.000881057;0.02294218;0.018665158;NA;0.010447761;NA;0.013207547;0.021297193;NA;0.00913242;0.024349751;NA;-0.014256619;-0.008396947;NA;NA;0;0;NA;NA;NA;0;0;0;0.014333895;NA;0.014354067
