MONTH;YEAR;TALLINK GROUP;ARCO VARA;BALTIKA;EKSPRESS GRUPP;HARJU ELEKTER;LHV GROUP;LINDA;MERKO EHITUS;NORDECON;OLYMPIC ENTM.GROUP
10;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
10;2004;NA;NA;0.087719298;NA;0.004;NA;NA;NA;NA;NA
10;2004;NA;NA;-0.064516129;NA;0.019920319;NA;NA;NA;NA;NA
11;2004;NA;NA;0;NA;-0.01953125;NA;NA;NA;NA;NA
11;2004;NA;NA;0;NA;0.015936255;NA;NA;NA;NA;NA
11;2004;NA;NA;0;NA;0.003921569;NA;NA;NA;NA;NA
11;2004;NA;NA;0.137931034;NA;0.015625;NA;NA;NA;NA;NA
11;2004;NA;NA;-0.045454545;NA;0.042307692;NA;NA;NA;NA;NA
11;2004;NA;NA;0;NA;-0.011070111;NA;NA;NA;NA;NA
11;2004;NA;NA;0.047619048;NA;0.03358209;NA;NA;NA;NA;NA
11;2004;NA;NA;-0.015151515;NA;0.007220217;NA;NA;NA;NA;NA
11;2004;NA;NA;-0.015384615;NA;0;NA;NA;NA;NA;NA
11;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
11;2004;NA;NA;0.03125;NA;0.007168459;NA;NA;NA;NA;NA
11;2004;NA;NA;0.03030303;NA;-0.003558719;NA;NA;NA;NA;NA
11;2004;NA;NA;0;NA;-0.003571429;NA;NA;NA;NA;NA
11;2004;NA;NA;-0.058823529;NA;0.017921147;NA;NA;NA;NA;NA
11;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
11;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
11;2004;NA;NA;-0.03125;NA;-0.031690141;NA;NA;NA;NA;NA
11;2004;NA;NA;0.048387097;NA;0.043636364;NA;NA;NA;NA;NA
11;2004;NA;NA;-0.030769231;NA;0;NA;NA;NA;NA;NA
11;2004;NA;NA;-0.015873016;NA;-0.003484321;NA;NA;NA;NA;NA
11;2004;NA;NA;-0.016129032;NA;0.013986014;NA;NA;NA;NA;NA
11;2004;NA;NA;0.06557377;NA;0.006896552;NA;NA;NA;NA;NA
12;2004;NA;NA;-0.030769231;NA;0.044520548;NA;NA;NA;NA;NA
12;2004;NA;NA;0;NA;-0.029508197;NA;NA;NA;NA;NA
12;2004;NA;NA;-0.015873016;NA;-0.016891892;NA;NA;NA;NA;NA
12;2004;NA;NA;0;NA;-0.003436426;NA;NA;NA;NA;NA
12;2004;NA;NA;0;NA;0.006896552;NA;NA;NA;NA;NA
12;2004;NA;NA;0.048387097;NA;-0.010273973;NA;NA;NA;NA;NA
12;2004;NA;NA;-0.030769231;NA;0.01384083;NA;NA;NA;NA;NA
12;2004;NA;NA;-0.015873016;NA;-0.010238908;NA;NA;NA;NA;NA
12;2004;NA;NA;0.032258065;NA;-0.003448276;NA;NA;NA;NA;NA
12;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
12;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
12;2004;NA;NA;0;NA;0.003460208;NA;NA;NA;NA;NA
12;2004;NA;NA;0;NA;-0.003448276;NA;NA;NA;NA;NA
12;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
12;2004;NA;NA;0.015625;NA;0;NA;NA;NA;NA;NA
12;2004;NA;NA;-0.046153846;NA;0;NA;NA;NA;NA;NA
12;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
12;2004;NA;NA;0.048387097;NA;0;NA;NA;NA;NA;NA
12;2004;NA;NA;-0.030769231;NA;0;NA;NA;NA;NA;NA
12;2004;NA;NA;0;NA;-0.010380623;NA;NA;NA;NA;NA
12;2004;NA;NA;0;NA;0.01048951;NA;NA;NA;NA;NA
12;2004;NA;NA;0;NA;0.020761246;NA;NA;NA;NA;NA
12;2004;NA;NA;-0.015873016;NA;0;NA;NA;NA;NA;NA
1;2005;NA;NA;0;NA;-0.030508475;NA;NA;NA;NA;NA
1;2005;NA;NA;0;NA;0.006993007;NA;NA;NA;NA;NA
1;2005;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1;2005;NA;NA;0;NA;0;NA;NA;NA;NA;NA
1;2005;NA;NA;0;NA;0.048611111;NA;NA;NA;NA;NA
1;2005;NA;NA;0;NA;-0.006622517;NA;NA;NA;NA;NA
1;2005;NA;NA;-0.016129032;NA;-0.026666667;NA;NA;NA;NA;NA
1;2005;NA;NA;0;NA;0.020547945;NA;NA;NA;NA;NA
1;2005;NA;NA;0.016393443;NA;0.006711409;NA;NA;NA;NA;NA
1;2005;NA;NA;0.016129032;NA;0;NA;NA;NA;NA;NA
1;2005;NA;NA;-0.031746032;NA;0.016666667;NA;NA;NA;NA;NA
1;2005;NA;NA;-0.032786885;NA;0;NA;NA;NA;NA;NA
1;2005;NA;NA;0.016949153;NA;-0.013114754;NA;NA;NA;NA;NA
1;2005;NA;NA;-0.016666667;NA;0.013289037;NA;NA;NA;NA;NA
1;2005;NA;NA;-0.050847458;NA;0.059016393;NA;NA;NA;NA;NA
1;2005;NA;NA;-0.053571429;NA;-0.009287926;NA;NA;NA;NA;NA
1;2005;NA;NA;0.056603774;NA;-0.009375;NA;NA;NA;NA;NA
1;2005;NA;NA;0;NA;0.012618297;NA;NA;NA;NA;NA
1;2005;NA;NA;0.035714286;NA;-0.018691589;NA;NA;NA;NA;NA
1;2005;NA;NA;0;NA;0.015873016;NA;NA;NA;NA;NA
1;2005;NA;NA;0;NA;0.00625;NA;NA;NA;NA;NA
2;2005;NA;NA;-0.051724138;NA;-0.00621118;NA;NA;NA;NA;NA
2;2005;NA;NA;0;NA;0;NA;NA;NA;NA;NA
2;2005;NA;NA;0;NA;0.0125;NA;NA;NA;NA;NA
2;2005;NA;NA;0;NA;0.012345679;NA;NA;NA;NA;NA
2;2005;NA;NA;0.072727273;NA;0;NA;NA;NA;NA;NA
2;2005;NA;NA;0.050847458;NA;0.039634146;NA;NA;NA;NA;NA
2;2005;NA;NA;0;NA;0.046920821;NA;NA;NA;NA;NA
2;2005;NA;NA;0;NA;0.005602241;NA;NA;NA;NA;NA
2;2005;NA;NA;0;NA;0.061281337;NA;NA;NA;NA;NA
2;2005;NA;NA;0;NA;0;NA;NA;NA;NA;NA
2;2005;NA;NA;0.016129032;NA;-0.015748031;NA;NA;NA;NA;NA
