"","Group.1","Group.2","ERSTE.GROUP.BANK..PRA.","VIENNA.IN.GROUP..PRA.","CENTRAL.EUR.MEDIA..PRA.","PHILIP.MORRIS.CR","CEZ","KOMERCNI.BANKA","MONETA.MONEY.BANK","KOFOLA.CESKOSLOVENSKO","UNIPETROL","TELF.O2.CZECH.REPUBLIC","STOCK.SPIRITS.GROUP.PRA.","PEGAS.NONWOVENS","FORTUNA.ENTM.GROUP"
"82",10,2010,-4.98913684816361e-05,-3.66425930922153e-06,-0.000113025045989569,-0.000101832092245685,-8.69553761225959e-06,-2.45575980952265e-05,NA,NA,-4.5250163393796e-05,-2.57336547597975e-05,NA,-4.45547192053785e-05,4.61286892538748e-07
"83",11,2010,-3.39215298375924e-05,-1.96733193520037e-05,-7.16328887393391e-05,-1.28786051537232e-05,1.41637727674059e-05,1.22105633513754e-06,NA,NA,-2.23362830964816e-06,5.2347417222583e-06,NA,-4.45409516188051e-05,0.000130379109111188
"84",12,2010,9.30441943300085e-06,-0.000707948717259004,-1.14935599238939e-05,-0.20996385414646,2.01730235941566e-05,-1.10441029123571e-05,NA,NA,5.65961717909981e-06,1.43886929608268e-05,NA,5.04963737597064e-07,2.5566680847455e-05
"85",1,2011,3.45537933336103e-05,-2.58988688023051e-05,-2.15809494157062e-05,-5.73544397581627e-06,-1.90485102282294e-05,3.18878323594889e-05,NA,NA,-0.0671014976556746,-3.31999780488826e-06,NA,4.29808069881227e-06,1.83161337804256e-05
"86",2,2011,-9.88593450751259e-05,2.75139623192269e-06,-0.000296957325056992,-2.84816417001537e-05,-4.68475070703268e-05,2.91258997989731e-05,NA,NA,4.44000264432775e-05,-5.54548812610799e-06,NA,-7.80345875345753e-05,-1.55203184650855e-05
"87",3,2011,-2.42625305499307e-05,1.17782614860072e-05,-5.70066057858257e-05,4.55179094926771e-05,-4.96452542749258e-06,1.76738077818677e-05,NA,NA,2.14801746280901e-05,-4.37639128260047e-05,NA,-3.37293488362528e-06,2.28537941379022e-06
"88",4,2011,-6.35158807814435e-05,-3.38457561095408e-05,-6.6395842508784e-05,-7.21875250755402e-05,-1.79389777056649e-05,-0.000100763354728143,NA,NA,-4.73151854333039e-06,6.94577506048303e-06,NA,-3.93265975961056e-05,-1.8770226273319e-06
"89",5,2011,-1.47785904559964e-05,-2.76306250669188e-05,1.3490974081824e-05,-4.23371437826557e-07,-1.33727377098459e-05,-4.01699132151694e-05,NA,NA,-5.09317342359581e-05,-1.09778508598923e-05,NA,-1.30814857398681e-05,2.93350141552305e-05
"90",6,2011,5.35607294554432e-05,1.02774631894951e-05,-1.59291348061137e-05,-2.67782066193079e-05,1.59934463456416e-05,-4.66235354464406e-06,NA,NA,1.60481792119792e-05,2.46728608419019e-06,NA,-1.33225958631823e-05,-0.000166952674752253
"91",7,2011,8.77933437010208e-05,9.86215596214932e-05,3.44797910968577e-05,-2.30773287164689e-05,-2.27031523558258e-05,-2.03057702717896e-07,NA,NA,-0.348402148979083,7.56393051324814e-06,NA,-4.08226237915655e-06,-0.177280137984842
