"","Group.1","Group.2","ENERGIJOS.SKIRSTYMO.OPERATORIUS","TELIA.LIETUVA","AGROWILL.GROUP","AMBER.GRID.AB","APRANGA","GRIGISKES","GUBERNIJA","INVALDA","INVL.BALTIC.FARM","INVL.TECHNOLOGY","K2.LT.AB","KAUNO.ENERGIJA","KLAIPEDOS.NAFTA","LIETUVOS.ENERGIJA","LINAS","LINAS.AGRO.GROUP","LITGRID","PANEVEZIO.STATYBOS.TTAS.","PIENO.ZVAIGZDES","ROKISKIO.SURIS","SIAULIU.BANKAS","SNAIGE","UTENOS.TRIKOTAZAS","VILKYSKIU.PIENINE","VILNIAUS.BALDU.KOMBINATA","VILNIAUS.DEGTINE","ZEMATIJOS.PIENAS"
"30",9,2005,NA,0,NA,NA,0.018097807448739,0.0139228114931585,0.0516810687636816,0,NA,NA,NA,0.0557388525515579,0,NA,0,NA,NA,0.00458051851433847,0.00880194038800449,0.00504897284045158,0,0.00688326572866556,0.0132806181686677,NA,0.00841691150839523,0.0108822134811847,0.0325401838192054
"31",10,2005,NA,0.0030441367566218,NA,NA,0,0.00870203925529902,0.015656984156632,0,NA,NA,NA,0.0142280449505419,0.00292614155906446,NA,0,NA,NA,0.0129931666073185,0.0118968815810407,0,0.00136392919957663,0.00623726323633133,0,NA,0,0.0293508943490701,0.0356607832874035
"32",11,2005,NA,0,NA,NA,0.0199697371091773,0.00487923971571017,0.0268334036964426,0.00757204817632764,NA,NA,NA,0.039097958033169,0.0188832516495852,NA,0,NA,NA,0.00922585898293146,0.00357792474618876,0.00965304317662559,0.0084037787121732,0,0.0163357493086227,NA,0.0187114453244316,0.0425061607741318,0.0221494465457766
"33",12,2005,NA,0,NA,NA,0,0.00995600919425641,0,0.0144530094867898,NA,NA,NA,0.00711121664095929,0.00600696064672033,NA,0,NA,NA,0,0.0126911899557976,0,0.0145789547619308,0.00257066996463488,0.0127008355018455,NA,0.0130310569081015,0,0.0260664015739494
"34",1,2006,NA,0.0099470756003549,NA,NA,0,0,0.0197133970170695,0,NA,NA,NA,0,0.0149574506757909,NA,0.0154162121085872,NA,NA,0.0087157686383042,0,0.00514438921346213,0,0.00509649018074965,0,NA,0,0.00911268985534149,0.024106676580335
"35",2,2006,NA,0,NA,NA,0,0.0484738647101748,0.0341249661806903,0.0101232586182102,NA,NA,NA,0.0152165983250737,0,NA,0,NA,NA,0,0.00709116576381596,0.00868147938223685,0.0135435661672444,0.0056716748676133,0.0215961673560149,NA,0.0287676052348527,0.0312945557285006,0.00895490928344643
"36",3,2006,NA,0.00442328800986636,NA,NA,0.00773502306672049,0.0207262000846715,0.0168148176575645,0,NA,NA,NA,0.0112575544017906,0,NA,0.0357750412675599,NA,NA,0.00957552324954667,0,0.00678233265672886,0,0.0118411146092443,0.0515975457457398,NA,0.0203104285583429,0.0192229848161008,0.0102305553772116
"37",4,2006,NA,0.01249419195588,NA,NA,0.010937434343088,0.00564575856329083,0.00286440627594608,0,NA,NA,NA,0,0,NA,0,NA,NA,0.00729721298976152,0.00355188136390722,0.0133355553218568,0.0134244371020351,0,0.00553882761475823,NA,0.0230427886639336,0.000318441624763674,0.000121250779009977
"38",5,2006,NA,0,NA,NA,0,0.0173060619673792,0.00827097076943623,0,NA,NA,NA,0.00520777335177775,0.0245934566296736,NA,0,NA,NA,0,0.0126014818925903,0,0.00901341991042048,0.00653857987745371,0.029257513621185,0,0.0333954146425907,0.0114455538713459,0.0243798330984729
"39",6,2006,NA,0,NA,NA,0,0.00937384615945911,0.0426062836190051,0,NA,NA,NA,0.00357314540064263,0.0433027384129624,NA,0,NA,NA,0.033489938377505,0.000819089716706958,0.0201029630567693,0.0136078059975374,0,0.00738318444478508,0.0051142992774688,0.0439644443708038,0.0348520680509756,0.0135720975081629
"40",7,2006,NA,0.0082101632419726,NA,NA,0.00717590114970571,0.0243068488922657,0.0292011339935782,0,NA,NA,NA,0.000967904078639397,0.0187351153268778,NA,0.0694155610290594,NA,NA,0.00880894627344284,0.000892155070926597,0.0114919340887775,0.0128577061883846,0.0125243370836898,0.00150859952722919,0,0.0571182977886967,0,0
"41",8,2006,NA,0.0147840366004784,NA,NA,0,0,0.00293195157000184,0,NA,NA,NA,0.0226314133044229,0,NA,0.0249581227626352,NA,NA,0.00944784272188225,0,0.0139809869050115,0,0.0119511090311056,0.0116037269248907,0.00145489136263543,0.017229178008698,0.0220057965270554,0.0112286411957508
"42",9,2006,NA,0,NA,NA,0.0120689356914274,0.0208864125306779,0.0339861942885205,0.0027858919164433,NA,NA,NA,0.0509298890917652,0.00365376909988532,NA,0.00450615060679269,NA,NA,0,0.0160157530718874,0,0.0193110448709171,0.0201121004817932,0.00567530575115123,0.00678506208627808,0.00839900473173304,0.00576926131726311,0
"43",10,2006,NA,0,NA,NA,0.00703593111305775,0.0103342829602185,0.0615970644885256,0,NA,NA,NA,0.00244916293375494,0.0268119534376852,NA,0.0108433341330293,NA,NA,0.0132568070374295,0,0,0.00225818026537898,0,0.00626876504116514,0.0145144829733529,0.0192011860480402,0,0.016338143675222
"44",11,2006,NA,0,NA,NA,0,0.026854062876808,0,0.0359248303687283,NA,NA,NA,0,0,NA,0.0527220535416094,NA,NA,0.00511879227292299,0.0128632775942632,0.0144126144792528,0,0,0.0109605130909387,0.0298977494407102,0.00181055617653908,0.0233071528015526,0.00665392615719575
"45",12,2006,NA,0,NA,NA,0.00298428112718455,0.0101202136329408,0.0238529220504177,0,NA,NA,NA,0.0850782629995985,0.0282737848410363,NA,0,NA,NA,0.0123061543316764,0,0.0100246969671503,0,0.0164022627486141,0,0.00135444162798315,0.0209443565666905,0.0168671243489816,0.00601350743231525
"46",1,2007,NA,0,NA,NA,0,0.0218850804526418,0.0440420564537183,0,NA,NA,NA,0.0258005897121189,0.00298595509543816,NA,0,NA,NA,0,0.0111262322063428,0,0,0.0235518403234132,0.0346696082220734,0.0136508497143401,0.0609500993817738,0.00595463224561626,0.0158858169601109
"47",2,2007,NA,0,NA,NA,0,0.0148287161724928,0.0494803072510513,0,NA,NA,NA,0.0172633413596093,0.00556469987749416,NA,0.0891707698334162,NA,NA,0,0.00483788150933378,0.0127438756653023,0.00827235648625116,0,0.00578587997194277,0.0151129510680858,0.0166939469101952,0,0.0130887341115164
"48",3,2007,NA,0.0209971034144345,NA,NA,0,0.0147565138005351,0,0,NA,NA,NA,0,0.0102004073079735,NA,0.0842274675209069,NA,NA,0,0.0108753485963842,0.00908532414067385,0.00695454439102046,0.0379714038426486,0.00829797972695489,0.0195488879188935,0.0249728942673997,0.0569713306000298,0.0333675752848721
"49",4,2007,NA,0.0135434867691548,NA,NA,0,0.02198614128984,0,0.0114503306154037,NA,NA,NA,0,0,NA,0.0613413001643584,NA,NA,0.00831870029928773,0.0121687800677399,0.00722485214450166,0,0.0155197134219996,0.01642066094526,0,0.0342503078275078,0,0.0317832016558462
"50",5,2007,NA,0,NA,NA,0.00673491103593791,0.0111130479117552,0,0,NA,NA,NA,0.00481284937054715,0.0138025248134557,NA,0.0514506830221222,NA,NA,0.0182514602375426,0,0.0218360886179209,0.0117393391822325,0.0200324361179207,0.0053248604129642,0.000868411887868052,0.00696631818545019,0,0
"51",6,2007,NA,0.00733233962848855,NA,NA,0.0114113888670882,0.0165401603050164,0.0570534662668945,0,NA,NA,NA,0.006262465261977,0.0145693822450323,NA,0,NA,NA,0.0099185915099304,0,0.0152287987900316,0.0162975644319561,0.00559752111629998,0.0175193466078631,0.00977422223972531,0,0.0145825211518664,0.00748065690350244
"52",7,2007,NA,0.0137550080381496,NA,NA,0,0,0.0483289030512193,0,NA,NA,NA,0.00603066319966737,0.0201148190167724,NA,0.00136489520828592,NA,NA,0.00734743674646842,0,0.0109077887254188,0.0128267822094398,0.006581535653058,0.017936551998922,0.0363292299575522,0.0332518229640811,0.0255634638859469,0.0184066598755522
"53",8,2007,NA,0.0132410044546423,NA,NA,0.01865633808188,0.0100840372693168,0.013300374533416,0.0107775581818512,NA,NA,NA,0.0431637441787252,0.0285181326242632,NA,0.0379933986378086,NA,NA,0.00992275564081755,0.00188937881169502,0.00415000119276441,0,0.0138367423368662,0.0129694533868237,0.00411594681460317,0,0,0.0186542763698988
"54",9,2007,NA,0,NA,NA,0.0108552445246794,0.0184250627301173,0.0372445065861184,0.0221388115525673,NA,NA,NA,0,0.0259478511466559,NA,0,NA,NA,0,0,0,0.0089796267731805,0.0194132059425331,0,0,0.040113717290944,0,0
"55",10,2007,NA,0.00666975913453934,NA,NA,0,0.0204661963271661,0.0373228207203885,0.0058773545069828,NA,NA,NA,0.0386664916594444,8.81140632721038e-05,NA,0,NA,NA,0.0216309383935884,0.00661555329119521,0.000907384738552194,0.00582113285558015,0,0,0.0113984216749409,0,0.0360761102907474,0.0217212268963174
"56",11,2007,NA,0.00553377282702153,NA,NA,0.0064375364011622,0.00607350311269553,0.0273831662158111,0.00420762865285962,NA,NA,NA,0.00629674148668144,0,NA,0.0576167545744964,NA,NA,0,0.0153083389540538,0.0147169243062016,0.010732748368944,0.0391578297039067,0.0546925706245904,0.011862149940123,0,0.064346906623361,0.0131210653235387
"57",12,2007,NA,0.0223023753664383,NA,NA,0.0253361156068999,0.00751842497210669,0.0424689861554495,0,NA,NA,NA,0.00075716268743584,0.00306532701348236,NA,0.0790108488024395,NA,NA,0.0143694503423658,0.00386219023637807,0.0112755103696776,0.0256650638123422,0.0138127465320004,0.0578587128927307,0.0085937270230705,0,0.0274395051865614,0.0331641621081825
"58",1,2008,NA,0.00290359429279732,NA,NA,0,0.0166788013400771,0.0279190144172186,0,NA,NA,NA,0.0312847911266428,0.0341214261103011,NA,0.00664631574868261,NA,NA,0.0121667502839355,0,0,0.0238766808482492,0.0256264496112332,0.0460998717870625,0.0133287347811195,0.0619451130265238,0.0171397974682119,0.0312075825199997
"59",2,2008,NA,0.00782938820524793,NA,NA,0,0,0.104481732271238,0.0125945654896143,NA,NA,NA,0.0128815010923944,0.0161038109170366,NA,0,NA,NA,0.00175580992330621,0,0,0.0154961958533546,0.0187853301433674,0.0344499503657633,0.00585817216375705,0.0373319059382186,0.00926624629646581,0
"60",3,2008,NA,0.0167076968410731,NA,NA,0,0.017502242547139,0.0172601341813989,0.0178754215345292,NA,NA,NA,0.0156359378897911,0,NA,0,NA,NA,0.0124409244538793,0,0.000702309216725302,0,0.0129413567079616,0.0326458408063462,0.0137898786223777,0.0346806436004237,0.0104277973532284,0.00153059708374224
"61",4,2008,NA,0,0,NA,0.014136961431151,0,0,0.0141810074051716,NA,NA,NA,0.015129930320753,0,NA,0.0235377504940292,NA,NA,0,0.00596515369262417,0.0268469626549401,0,0,0.010542821037216,0.0168118175245759,0.00295788319478044,0,0.0191212947273372
"62",5,2008,NA,0.0146970973900902,0.00619721141889309,NA,0,0.0367153673256014,0.0267695450349236,0,NA,NA,NA,0,0.00420387732739984,NA,0.0598629793062767,NA,NA,0.0217821736404169,0.00741307377230544,0.0373444323360393,0.0198312836956176,0,0,0.00919585454079387,0,0.0272775544132808,0.0273117635660256
"63",6,2008,NA,0,0,NA,0.0103045911165671,0.0445947194947878,0.0406909758366948,0,NA,NA,NA,0.0101729802647626,0.0240192792986991,NA,0,NA,NA,0.00928867468939719,0.0113030890734822,0.0144722299099965,0.0207675856097082,0.0166369445382081,0,0.00990278675965748,0.00083348197499204,0.00698576727806547,0.0222390670308909
"64",7,2008,NA,0.0118827915006789,0,NA,0,0,0,0,NA,NA,NA,0.00609108177002627,0.0180850953819966,NA,0,NA,NA,0.0165403850642684,0.0112159676860153,0,0,0,0.0762514909239009,0.0150884193790687,0.00236850522053773,0.00600312393505309,0.0338260705390923
"65",8,2008,NA,0.00689228790099323,0.0121630307058296,NA,0,0,0,0.0199260811054113,NA,NA,NA,0.0235385377882924,0.00540333857364736,NA,0.189644172703384,NA,NA,0,0.0204985203953312,0.0412313492310599,0.0234088635524772,0.025199004116288,0,0,0,0,0.00945631423881993
"66",9,2008,NA,0.00992910622692474,0,NA,0,0,0.0107441484315251,0,NA,NA,NA,0.00959676134354794,0.0256624162166665,NA,0.129355340885518,NA,NA,0.0445937321275882,0.0139890679647067,0.0112142760036765,0,0.0214852434971642,0.00333260920390597,0,0,0,0.031283453390896
"67",10,2008,NA,0.0518324323960551,0.0390775090095083,NA,0,0.0405305223463419,0.000601675655226804,0.0737018461075979,NA,NA,NA,0,0.0482969767235175,NA,0.154840140029975,NA,NA,0.0266837104838123,0.00823713870958943,0.0472697859307936,0,0,0,0,0.0175735720813455,0,0.0707867157872974
"68",11,2008,NA,0,0,NA,0.00815341322880526,0.0813863504220044,0.118157540502537,0.0486232365814351,NA,NA,NA,0.00864303460154835,0.0212318705439561,NA,0.0396541252013467,NA,NA,0,0.0301054361079708,0.0457730991278785,0.0277020972176355,0.0125753039887756,0,0.103349698129031,0,0.00720984097519421,0.104097486548
"69",12,2008,NA,0.0170497549267098,0,NA,0,0.0704414122876213,0.00916385969579776,0,NA,NA,NA,0.00498473688129827,0,NA,0,NA,NA,0,0.0309235442585214,0,0.0709090371481344,0,0.0125741109387566,0.0645786091105402,0.00600312393505309,0.0283237670388537,0.0692798295176991
"70",1,2009,NA,0.0128258523992374,0.0498980326397994,NA,0,0.0678897821370502,0.0410422183977096,0,NA,NA,NA,0.0249184075247648,0,NA,0,NA,NA,0,0,0.0869776885376188,0.0694930804267627,0.021605244260172,0.0197763754194968,0,0.0561527788419834,0.000678887032726807,0.046891455309992
"71",2,2009,NA,0,0.0258802738020345,NA,0.0234619634197769,0.0458093542128788,0.012617221679553,0,NA,NA,NA,0.0138060783434852,0.0397889315500463,NA,0,NA,NA,0.0503871684072413,0.0557415585105919,0,0.0188439024283659,0.02716294967416,0,0.0521256356477416,0,0.00470207019180947,0.048200115542233
"72",3,2009,NA,0,0,NA,0,0.0665430953200088,0,0.0968517394466735,NA,NA,NA,0,0.0443922871116379,NA,0.0162650012483389,NA,NA,0.0208048003834897,0.0344366679419847,0.00865097216131496,0.0677252810467629,0,0.0231513652615646,0.0373535212628437,0.0250704525962083,0.0287166767676417,0.0435463990589181
"73",4,2009,NA,0.013606990867246,0.0656196477622798,NA,0,0.0445241752922765,0.0893916059417888,0,NA,NA,NA,0.0226588491043739,0.00436041582761398,NA,0.258198889618062,NA,NA,0,0.0399645051864187,0.0265121415546349,0.0426711532859299,0,0.0126848088792351,0.0825089603571859,0,0.0603656767398825,0.0412154837503268
"74",5,2009,NA,0.0146482839974654,0.0661904438395595,NA,0,0,0,0,NA,NA,NA,0.0047352846861472,0.0189273224339682,NA,0.278361958712895,NA,NA,0.0342786052609669,0,0,0.0758251692442984,0.0201614626933364,0,0,0.00321607224785856,0.0791105577878611,0
"75",6,2009,NA,0.0146713557331416,0,NA,0.0286926446078705,0.0331540135333605,0,0.0428956224619614,NA,NA,NA,0.0578182868156254,0.0330135186712383,NA,0,NA,NA,0,0,0.0251068039069738,0.0549488051880622,0,0,0.0399941050767434,0.0110546661538593,0,0.0288703503116516
