"","Group.1","Group.2","ARCA.CONTINENTAL","ALFA.A","ALPEK.DE.CV","ALSEA.DE.CV","AMERICA.MOVIL.L","GRUPO.AEROPORTUARIO.DEL.SURESTE.B","GRUPO.BIMBO.A","BOLSA.MEXICANA.DE.VALORES","CEMEX.CPO","GRUPO.ELEKTRA","FOMENTO.ECONOMICO.MEXICANO","GRUPO.AEROPORTUARIO.DEL.PACIFICO","GRUPO.CARSO.SERIES.A1","GENTERA","GRUPO.FINANCIERO.INBURSA.SRIES.O","GPO.FINANCE.BANORTE","BANREGIO.GRUPO.FINANCIERO","GRUPO.MEXICO.B","GRUMA","INFRAESTRUCTURA.ENERGETICA.NOVA","KIMBERLY.CLARK.DE.MEXICO.A","COCA.COLA.FEMSA.L","GENOMMA.LAB.INTERNATIONAL","GRUPO.LALA","EL.PUERTO.DE.LIVERPOOL.C1","MEXICHEM.DE.CV","NEMAK","OHL.MEXICO","GRUPO.AEROPORTUARIO.DEL.CENTRO.NORTE.B","INDUST.PENOLES","PROMOTORA.Y.OPRD..INFRE.","GRUPO.FINANCIERO.SANTANDER.MEXICO.B","GRUPO.TELEVISA","CONTROLADORA.VUELA.COMPANIA.DE.AVIACION","WALMART.DE.MEXICO.V"
"35",11,2006,0,0,NA,0,0,0,0.00644945045030196,NA,0.00564661398985263,0,0.0137044609894831,0.0229990683943827,0.0136511385321034,NA,0,0,NA,0,0.00937050470398056,NA,0,0,NA,NA,0.01107551655929,0.00226270423571588,NA,NA,NA,0,0,0,0.0153711606816988,NA,0.00887374143311558
"36",12,2006,0.0143002293291172,0,NA,0,0,0.0140092877475495,0,NA,0,0,0,0,0,NA,0.00498590413374377,0.00571991473646,NA,0,0,NA,0,0.00401250139126965,NA,NA,0.0116590557551227,0.00278519352520269,NA,NA,0,0.00893562281126529,0,0,0,NA,0.00553964879170641
"37",1,2007,0,0.00763229632168167,NA,0,0,0.0103672382565484,0.0117020231640648,NA,0.0100122426481343,0.00668854198316863,0.0163699290650468,0,0.0118623567583012,NA,0.00900965882495766,0,NA,0,0,NA,0,0.0147471720895068,NA,NA,0.00678895516315143,0.00628968545891221,NA,NA,0.00723581555733409,0,0,0,0.0180651755594506,NA,0
"38",2,2007,0.0105809340379278,0,NA,0,0,0,0,NA,0,0.0112752198124472,0,0,0.00641421072017024,NA,0.0174633848005168,0,NA,0.00349917993995813,0,NA,0,0,NA,NA,0.0103523304300994,0,NA,NA,0,0,0.0201149159089134,0,0,NA,0.00795233054178834
"39",3,2007,0.0133489642562182,0,NA,0,0.00504649095062261,0,0.00987529104571453,NA,0,0,0,0,0.0129610416259839,NA,0.0124949839893873,0,NA,0,0.0116688766279906,NA,0.0180898444507464,0.0100377978764599,NA,NA,0.00630257220120344,0,NA,NA,0.0137320672604371,0.00592623922819867,0.0114993804022356,0,0.0132197243990526,NA,0.0177395644982155
"40",4,2007,0,0,NA,0.0087518235337635,0.0080173047035507,0.00492633676442292,0.0161183904496294,NA,0,0.0191667149888247,0.00801474814449574,0.00741695478427956,0.00467329615537692,NA,0.0116273347185213,0,NA,0.01350330339747,0.00569968210649512,NA,0,0.0187812589491801,NA,NA,0.00102597835208515,0,NA,NA,0,0.00399972255900113,0,0.0249665320095322,0,NA,0
"41",5,2007,0.00579120782452114,0.0163718580697688,NA,0.00203837417552657,0.0210585125131393,0.00686953043598534,0,NA,0,0,0.0123664331689141,0.00853855148554524,0.0217407494527687,NA,0.0114130279952839,0.0128453028259606,NA,0.0172133139618135,0.0134581019291175,NA,0.0154369111224355,0.0212799136469602,NA,NA,0.0101339864415929,0,NA,NA,0.0266502111369149,0.00670217209926349,0,0,0.0105853905272583,NA,0.0181317660646914
"42",6,2007,0.00276789430062636,0.0134271947122256,NA,0.0123668633496994,0,0,0.0129325524904131,NA,0,0,0.0107135346633857,0,0.0125126126509984,NA,0.016783215943713,0.00394678766938266,NA,0.0124045406345244,0.0129642219445905,NA,0,0,NA,NA,0,0,NA,NA,0,0.000762387048722126,0,0.011138609594017,0,NA,0
"43",7,2007,0.00498893816054287,0,NA,0.0378456960505737,0,0,0.00834321167401898,NA,0.00189530813305338,0.0189773711824392,0.0153568235882137,0.0199622096437058,0.0190220689410013,NA,0,0,NA,0,0.00524975916634866,NA,0,0,NA,NA,6.72395150261546e-08,0,NA,NA,0.00791975093772241,0,0,0.0131961080021191,0,NA,0.00701591031006669
"44",8,2007,0,0.0125954845567341,NA,0,0.014609346908642,0,0.0108629271296473,NA,0.0121527448293895,0.0170334576776795,0.0124459820116062,0,0.0108083109296429,NA,0.0164224990820837,0,NA,0,0.0212365900305021,NA,0,0,NA,NA,0.00190115547555353,0.0184821252682876,NA,NA,0,0.0259085001191116,0,0,0.0165594910728496,NA,0
