"","Group.1","Group.2","KRKA","PETROL","TELEKOM.SLOVENIJE","ZAVAROVALNICA.TRIGLAV","CETIS.REDNE","CINKARNA.REDNE","DATALAB.TEHNOLOGIJE","DELO.PRODAJA","GEA.TOVARNA.OLJA","GORENJE","GRAND.HOTEL.UNION","INLES.RIBNICA.REDNE","INTEREUROPA","ISTRABENZ","KD","KOMPAS.MTS","KS.NALOZBE","LUKA.KOPER","M1.FINANCNA.DRUZBA","MELAMIN.REDNE","MERCATOR","MLINOTEST","NAMA","NIKA.REDNE","POZAVAROVALNICA.SAVA","SALUS.REDNE.SERIJA.B","SIVENT","TERME.CATEZ.REDNE","TOPLICE.DOBRNA","UNIOR.KOVASKA","ZDRAVILISEE.ROGASKA.REDN"
"43",7,2007,0.015923052174512,0.0224388078074792,0,NA,0,0.0127646732718482,NA,0,0.0121987509118567,0,0.010433900134101,NA,0,0,NA,0,NA,0,0,0,0.0190027551460427,0.00796985062827636,0,0.000787016175269461,NA,0.0284902944574252,NA,0.0455211075077859,0.0365063746033743,NA,NA
"44",8,2007,0,0.00755775376722789,0,NA,0,0.0180819434748531,NA,0.0241662075573646,0,0,0.0145615144244309,NA,0,0,NA,0,NA,0,0,0,0,3.07059789431488e-07,0,0.000832140310668825,NA,0.00241577028685727,NA,0.049548160532465,0.0132926315904136,NA,NA
"45",9,2007,0,0.788414806308364,0.0140674369633681,NA,0.0153439219426334,0.0161352602268021,NA,0.0437226748268634,0.013215580366184,0.00350454429907668,0.00852593891087982,NA,0,0.030091257545474,NA,0.0265388376389136,NA,0,0,0.00300685696419764,0.0366246472925886,0.0213438694962134,0,0.000827438909194754,NA,0.0143943431031649,NA,0,0.00324442842261525,NA,NA
"46",10,2007,0.0175665902112523,0.0134751711547356,0.0300168103739157,NA,0.00303636919519966,0.00674873597807287,NA,0,4.60496635726221e-07,0.0167073407913238,0.0540340257271763,NA,0,0,NA,0.00293837115645102,NA,0.0109192179936064,0,0.00276630443444097,0,0,0.00279145263119541,0.00221992205902973,NA,0.00353364079484062,NA,0.0106042654402116,0.00308163473972817,NA,NA
"47",11,2007,0,0.00437381791623982,0.00684676232881983,NA,0.0436943294514103,0,NA,0.00185117782189555,0,0.0376323391212342,0.0394669290205283,NA,0.0339521729450997,0.0234351571421645,NA,0.00495607724904113,NA,0,0.00121987509118567,0.0051377469456466,0.0102070169075211,0.00258726313861793,0,0.00144860167078298,NA,0.0359994171323074,NA,0.00676156916213902,0,NA,NA
"48",12,2007,0,0.0155774606401818,0.0237521884286042,NA,0.013549875226684,0,NA,0,0,0.0268382998001101,4.01157535665271e-08,NA,0.0105152286882294,0,NA,0.00949296750569877,NA,0.00555814737836977,0.336909032530517,0.00298741647457739,0.0487992705457844,0.0150362861694859,0,0.00706802642621575,NA,0,NA,0.0111633959417325,0.0126077969486909,NA,NA
"49",1,2008,0,0,0,NA,0.0689073845573992,0.0646870029767407,NA,0.058245656824603,0,0.0143817550717413,0,NA,0.0608707204956677,0,NA,0,NA,0,0.0299611006513651,0,0,0.000155080732749219,0,0,NA,0.0266014312447091,NA,0.0256616068802643,0.00492662134982415,NA,NA
"50",2,2008,0.0176741279684288,0.0400652845900795,0.0309922313232174,NA,0.00102342017766207,0.0340709897442719,NA,0.00350247781909767,0.0113997594562131,0.0433040103340395,0.00165274325801949,NA,0.0130096692120383,0.0145198389323667,NA,0.00909389906715399,NA,0.0143320959338023,0.017950647708201,0.0117698815571191,0.053390229214226,0.00667999259004332,0,0,NA,0.00874840231130383,NA,0,0.000293136686681163,NA,NA
"51",3,2008,0.0104918471945334,0.0187324895025252,0,NA,0.00707990776141718,0.00877958036508024,NA,0.00960309130251117,0,0.0222697814250774,0.00607487618504988,NA,0,0.0307495220169942,NA,0,NA,0,0.00516149542672725,0.0425236686378575,0.0229595039264225,0,0.00903121312361344,0,NA,0,0.0245590838649876,0.000180700745054503,0.000292301540302566,NA,NA
"52",4,2008,0,0,0,NA,0,0.0328250029832603,NA,0.00182979946212752,0,0,0.00782393844091942,NA,0,0,NA,0,NA,0,0.00410497786682913,0.00445910242408792,0.0124624560287988,0,0,0,NA,0,0.00177818951784828,0.0121127574226952,0.0617886302949162,NA,NA
