"","Group.1","Group.2","VENTSPILS.NAFTA","BALTIC.TELEKOM","DITTON.PIEVADKELU","GRINDEKS","GROBINAS.ZV","LATVIJAS.BALZAMS","LATVIJAS.GAZE","LATVIJAS.KUG","OLAINES.KIMISKI...FAR","RIGAS.KUGU.BUVETAVA","SAF.TEHNNIKA","SALDUS.MR","TALSU.MR.DEAD...DELIST.25.04.17","VALMIERAS.STIKLA.SKIEDRA"
"83",11,2010,0.363636363636364,NA,0.454545454545455,0.136363636363636,0.863636363636364,0.409090909090909,0.454545454545455,0.409090909090909,0.272727272727273,0.590909090909091,0.136363636363636,0.863636363636364,0.772727272727273,0.5
"84",12,2010,0.391304347826087,NA,0.652173913043478,0.478260869565217,0.782608695652174,0.434782608695652,0.434782608695652,0.521739130434783,0.260869565217391,0.565217391304348,0.217391304347826,1,0.956521739130435,0.347826086956522
"85",1,2011,0.428571428571429,NA,0.380952380952381,0.238095238095238,0.857142857142857,0.476190476190476,0.19047619047619,0.428571428571429,0.0476190476190476,0.333333333333333,0.142857142857143,1,1,0.19047619047619
"86",2,2011,0.4,NA,0.6,0.25,0.85,0.4,0.1,0.2,0.15,0.5,0.1,0.95,0.9,0.9
"87",3,2011,0.521739130434783,NA,0.608695652173913,0.217391304347826,0.91304347826087,0.304347826086957,0.173913043478261,0.521739130434783,0.260869565217391,0.391304347826087,0.217391304347826,1,0.956521739130435,0.434782608695652
"88",4,2011,0.476190476190476,NA,0.80952380952381,0.285714285714286,1,0.380952380952381,0.380952380952381,0.476190476190476,0.428571428571429,0.476190476190476,0.142857142857143,1,1,0.714285714285714
"89",5,2011,0.636363636363636,NA,0.681818181818182,0.5,0.954545454545455,0.181818181818182,0.5,0.545454545454545,0.272727272727273,0.454545454545455,0.590909090909091,0.863636363636364,0.954545454545455,0.318181818181818
"90",6,2011,0.363636363636364,NA,0.727272727272727,0.181818181818182,1,0.272727272727273,0.454545454545455,0.590909090909091,0.181818181818182,0.545454545454545,0.5,1,0.954545454545455,0.727272727272727
"91",7,2011,0.380952380952381,NA,0.761904761904762,0.333333333333333,0.952380952380952,0.333333333333333,0,0.619047619047619,0,0.666666666666667,0.238095238095238,1,1,0.476190476190476
"92",8,2011,0.478260869565217,NA,0.869565217391304,0.217391304347826,1,0.304347826086957,0.260869565217391,0.173913043478261,0.0434782608695652,0.391304347826087,0,0.956521739130435,0.956521739130435,0.434782608695652
"93",9,2011,0.5,NA,0.545454545454545,0.272727272727273,0.909090909090909,0.363636363636364,0.0909090909090909,0.454545454545455,0.0909090909090909,0.590909090909091,0.0909090909090909,1,0.954545454545455,0.454545454545455
"94",10,2011,0.571428571428571,NA,0.666666666666667,0.238095238095238,0.952380952380952,0.333333333333333,0.380952380952381,0.619047619047619,0.0476190476190476,0.142857142857143,0.380952380952381,1,0.904761904761905,0.714285714285714
"95",11,2011,0.5,NA,0.681818181818182,0.0909090909090909,1,0.636363636363636,0.318181818181818,0.681818181818182,0.136363636363636,0.272727272727273,0.181818181818182,1,0.954545454545455,0.5
"96",12,2011,0.772727272727273,NA,0.590909090909091,0.227272727272727,0.909090909090909,0.227272727272727,0.136363636363636,0.636363636363636,0.454545454545455,0.363636363636364,0.181818181818182,0.909090909090909,0.954545454545455,0.454545454545455
"97",1,2012,0.636363636363636,NA,0.681818181818182,0.136363636363636,1,0.318181818181818,0.136363636363636,0.5,0.0909090909090909,0.272727272727273,0.227272727272727,1,0.954545454545455,0.5
"98",2,2012,0.714285714285714,NA,0.428571428571429,0.0952380952380952,0.857142857142857,0.333333333333333,0.0952380952380952,0.666666666666667,0.19047619047619,0.571428571428571,0.476190476190476,1,0.952380952380952,0.523809523809524
"99",3,2012,0.545454545454545,NA,0.772727272727273,0.181818181818182,0.818181818181818,0.318181818181818,0.318181818181818,0.454545454545455,0.272727272727273,0.318181818181818,0.272727272727273,0.954545454545455,0.954545454545455,0.454545454545455
"100",4,2012,0.571428571428571,NA,0.904761904761905,0.428571428571429,0.952380952380952,0.523809523809524,0.285714285714286,0.666666666666667,0.19047619047619,0.476190476190476,0.333333333333333,1,0.952380952380952,0.523809523809524
