"","Group.1","Group.2","CEZ","KOMERCNI.BANKA","TELF.O2.CZECH.REPUBLIC","UNIPETROL","MONETA.MONEY.BANK","PHILIP.MORRIS.CR","BOREALIS.EXPLORATION","E4U","ENERGOAQUA","ENERGOCHEMICA","FORTUNA.ENTM.GROUP","JACHYMOV","KOFOLA.CESKOSLOVENSKO","PEGAS.NONWOVENS","PRAZSKE.SLUZBY","RM.S.HOLDING","SAFETY.REAL.INVESTICNI.FOND","TOMA","CENTRAL.EUR.MEDIA..PRA.","ERSTE.GROUP.BANK..PRA.","NEW.WORLD.RES...PRA.","PHOTON.ENERGY..PRA.","STOCK.SPIRITS.GROUP.PRA.","TATRY.MOUNTAIN..PRA..RESORTS.6","VGP..WI...PRA.","VIENNA.IN.GROUP..PRA."
"95",11,2011,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0909090909090909,NA,0.136363636363636,NA,0.454545454545455,0.954545454545455,NA,0.0909090909090909,1,NA,0.0909090909090909,0.863636363636364,1,NA,0.818181818181818,0.0454545454545455,0.0454545454545455,0.0909090909090909,NA,NA,NA,1,0.0454545454545455
"96",12,2011,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.272727272727273,NA,0.0909090909090909,NA,0.590909090909091,0.954545454545455,NA,0.181818181818182,0.954545454545455,NA,0.136363636363636,1,0.909090909090909,NA,0.818181818181818,0.0454545454545455,0.0454545454545455,0.0454545454545455,NA,NA,NA,1,0.136363636363636
"97",1,2012,0,0.0454545454545455,0.0454545454545455,0.409090909090909,NA,0.0909090909090909,NA,0.318181818181818,1,NA,0.0909090909090909,0.954545454545455,NA,0.0454545454545455,1,0.727272727272727,NA,0.909090909090909,0,0,0.0454545454545455,NA,NA,NA,1,0.0454545454545455
"98",2,2012,0.0476190476190476,0,0.0952380952380952,0.238095238095238,NA,0.142857142857143,NA,0.333333333333333,1,NA,0,1,NA,0.0476190476190476,0.857142857142857,0.857142857142857,NA,0.857142857142857,0.0476190476190476,0,0,NA,NA,NA,1,0
"99",3,2012,0.0909090909090909,0,0.0454545454545455,0.181818181818182,NA,0.181818181818182,NA,0.5,1,NA,0.0909090909090909,1,NA,0.0454545454545455,0.954545454545455,1,NA,0.909090909090909,0.0909090909090909,0,0,NA,NA,NA,1,0
"100",4,2012,0.0476190476190476,0.19047619047619,0.142857142857143,0.142857142857143,NA,0.0476190476190476,NA,0.571428571428571,1,NA,0.0476190476190476,1,NA,0.142857142857143,0.80952380952381,0.952380952380952,NA,0.904761904761905,0.0476190476190476,0.0952380952380952,0.0476190476190476,NA,NA,NA,0.952380952380952,0.0476190476190476
"101",5,2012,0.0869565217391304,0.130434782608696,0.173913043478261,0.391304347826087,NA,0.0869565217391304,NA,0.130434782608696,1,NA,0.0869565217391304,1,NA,0.0869565217391304,0.956521739130435,0.956521739130435,NA,0.956521739130435,0.130434782608696,0.0869565217391304,0.0869565217391304,NA,NA,NA,1,0.0869565217391304
"102",6,2012,0.0476190476190476,0.0476190476190476,0,0.19047619047619,NA,0.0952380952380952,NA,0.380952380952381,1,NA,0.0476190476190476,0.952380952380952,NA,0.0476190476190476,0.80952380952381,1,NA,0.80952380952381,0,0,0,NA,NA,NA,1,0
"103",7,2012,0.05,0,0,0.05,NA,0.05,NA,0.55,1,1,0,1,NA,0.05,0.95,0.65,NA,1,0,0,0,NA,NA,NA,1,0
"104",8,2012,0,0.0434782608695652,0.0434782608695652,0.0869565217391304,NA,0.0434782608695652,NA,0.565217391304348,1,0.956521739130435,0.0869565217391304,1,NA,0.0434782608695652,0.956521739130435,1,NA,0.91304347826087,0,0,0,NA,NA,NA,1,0
