"","Group.1","Group.2","ERSTE.GROUP.BANK..PRA.","VIENNA.IN.GROUP..PRA.","CENTRAL.EUR.MEDIA..PRA.","PHILIP.MORRIS.CR","CEZ","KOMERCNI.BANKA","MONETA.MONEY.BANK","KOFOLA.CESKOSLOVENSKO","UNIPETROL","TELF.O2.CZECH.REPUBLIC","STOCK.SPIRITS.GROUP.PRA.","PEGAS.NONWOVENS","FORTUNA.ENTM.GROUP"
"117",9,2013,0,0,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,1,1,0.476190476190476,0,1,0.0476190476190476,0.19047619047619
"118",10,2013,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,1,1,0.434782608695652,0.0434782608695652,1,0.0434782608695652,0.217391304347826
"119",11,2013,0,0.0952380952380952,0,0,0,0.0476190476190476,1,1,0.428571428571429,0.0476190476190476,1,0.142857142857143,0
"120",12,2013,0.227272727272727,0.272727272727273,0.181818181818182,0.272727272727273,0.181818181818182,0.181818181818182,1,1,0.363636363636364,0.363636363636364,0.681818181818182,0.181818181818182,0.227272727272727
"121",1,2014,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.173913043478261,0.0434782608695652,0.130434782608696,1,1,0.0434782608695652,0.130434782608696,0.0434782608695652,0.130434782608696,0.0869565217391304
"122",2,2014,0.05,0,0.05,0.15,0,0.05,1,1,0.2,0.1,0.15,0,0.1
"123",3,2014,0,0,0,0.0952380952380952,0,0,1,1,0.0476190476190476,0.19047619047619,0.142857142857143,0,0.19047619047619
"124",4,2014,0.0909090909090909,0.136363636363636,0.0909090909090909,0.136363636363636,0.0909090909090909,0.136363636363636,1,1,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909
"125",5,2014,0.0909090909090909,0.0909090909090909,0.136363636363636,0.136363636363636,0.136363636363636,0.136363636363636,1,1,0.0909090909090909,0.0909090909090909,0.318181818181818,0.136363636363636,0.0909090909090909
"126",6,2014,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0,0.0476190476190476,1,1,0.142857142857143,0.142857142857143,0.19047619047619,0.142857142857143,0
"127",7,2014,0,0.0869565217391304,0.0434782608695652,0,0,0,1,1,0,0,0.260869565217391,0.0434782608695652,0.0434782608695652
"128",8,2014,0,0,0,0.0476190476190476,0,0,1,1,0.0952380952380952,0.0476190476190476,0.142857142857143,0.0952380952380952,0
"129",9,2014,0,0.0454545454545455,0.0454545454545455,0.0909090909090909,0,0,1,1,0,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.0909090909090909
"130",10,2014,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0869565217391304,1,1,0.173913043478261,0.0434782608695652,0.0869565217391304,0.130434782608696,0.0869565217391304
"131",11,2014,0.05,0.15,0.05,0.1,0.05,0.1,1,1,0.5,0.15,0.05,0.15,0.05
"132",12,2014,0.173913043478261,0.217391304347826,0.173913043478261,0.260869565217391,0.173913043478261,0.173913043478261,1,1,0.304347826086957,0.173913043478261,0.217391304347826,0.260869565217391,0.260869565217391
